[     671ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:17348
[     707ms] [LOG] Running application "main" with appParams:
 {rootTag: #root, hydrate: undefined} 
Development-level warnings: ON.
Performance optimizations: OFF. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:40281
[     761ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:199208
[     825ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:23886
[   32807ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:8081/login:0
[  157712ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  167667ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  177692ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  187821ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  197849ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  207670ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  217746ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  227811ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  237659ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  247930ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  257641ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  267651ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  277975ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  287986ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  297671ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  307899ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  317692ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  327768ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  337655ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  347735ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  357884ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  367758ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  377777ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  387662ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  397787ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  407766ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  418032ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  427667ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  438484ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  447718ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  461213ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  468837ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  479213ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  488081ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  498876ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  512335ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  517822ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  527770ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  537681ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  547652ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  557742ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  567648ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  577892ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  587737ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  597660ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  607878ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  617662ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  627928ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  637770ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  647908ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  657656ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  667895ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  677718ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  687659ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  697657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  707829ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
